Date,Open,High,Low,Close,Adjusted_Close,Volume
05/06/1981,0.122768,0.122768,0.12221,0.12221,0.094448,18950400
05/07/1981,0.123884,0.124442,0.123884,0.123884,0.095742,9363200
05/08/1981,0.125,0.125558,0.125,0.125,0.096605,7907200
05/11/1981,0.122768,0.122768,0.12221,0.12221,0.094448,11939200
05/12/1981,0.12221,0.123884,0.12221,0.12221,0.094448,4256000
5/13/1981,0.12221,0.123326,0.121652,0.121652,0.094017,4905600
5/14/1981,0.121094,0.121094,0.119978,0.119978,0.092723,4928000
5/15/1981,0.122768,0.124442,0.122768,0.122768,0.09488,4905600
5/18/1981,0.125,0.126116,0.125,0.125,0.096605,4166400
5/19/1981,0.123326,0.123326,0.122768,0.122768,0.09488,25424000
5/20/1981,0.126674,0.12779,0.126674,0.126674,0.097898,13283200
5/21/1981,0.133929,0.134487,0.133929,0.133929,0.103505,32211200
5/22/1981,0.140067,0.141183,0.140067,0.140067,0.108249,31427200
5/26/1981,0.140067,0.140067,0.139509,0.139509,0.107818,85344000
5/27/1981,0.147321,0.147879,0.147321,0.147321,0.113855,149497600
5/28/1981,0.147321,0.147879,0.147321,0.147321,0.113855,73987200
5/29/1981,0.147879,0.148438,0.147879,0.147879,0.114286,59382400
06/01/1981,0.147879,0.148438,0.147879,0.147879,0.114286,51251200
06/02/1981,0.141183,0.141183,0.140625,0.140625,0.10868,40432000
06/03/1981,0.140625,0.141741,0.140625,0.140625,0.10868,39446400
06/04/1981,0.143415,0.143973,0.143415,0.143415,0.110836,56067200
06/05/1981,0.141741,0.141741,0.141183,0.141183,0.109111,57680000
06/08/1981,0.136719,0.136719,0.136161,0.136161,0.10523,93497600
06/09/1981,0.138951,0.139509,0.138951,0.138951,0.107386,119593600
06/10/1981,0.140625,0.142299,0.140625,0.140625,0.10868,25222400
06/11/1981,0.146763,0.147321,0.146763,0.146763,0.113424,38976000
06/12/1981,0.145647,0.145647,0.145089,0.145089,0.11213,25804800
6/15/1981,0.145089,0.145089,0.144531,0.144531,0.111699,143763200
6/16/1981,0.142299,0.142299,0.141741,0.141741,0.109543,37251200
6/17/1981,0.140067,0.140067,0.139509,0.139509,0.107818,27574400
6/18/1981,0.139509,0.140067,0.138951,0.138951,0.107386,23049600
6/19/1981,0.135603,0.135603,0.135045,0.135045,0.104368,27507200
6/22/1981,0.13058,0.13058,0.130022,0.130022,0.100486,10841600
6/23/1981,0.132254,0.133371,0.132254,0.132254,0.102211,15030400
6/24/1981,0.130022,0.130022,0.128906,0.128906,0.099623,23027200
6/25/1981,0.131696,0.132254,0.131696,0.131696,0.10178,24259200
6/26/1981,0.131138,0.131138,0.130022,0.130022,0.100486,23788800
6/29/1981,0.126674,0.126674,0.125558,0.125558,0.097036,10595200
6/30/1981,0.116629,0.116629,0.116071,0.116071,0.089704,35907200
07/01/1981,0.115513,0.115513,0.114955,0.114955,0.088841,170464000
07/02/1981,0.114955,0.115513,0.114955,0.114955,0.088841,30284800
07/06/1981,0.112165,0.112165,0.111049,0.111049,0.085823,16531200
07/07/1981,0.112165,0.113281,0.112165,0.112165,0.086685,15836800
07/08/1981,0.116629,0.117188,0.116629,0.116629,0.090135,16620800
07/09/1981,0.108259,0.108259,0.107701,0.107701,0.083235,32883200
07/10/1981,0.099888,0.099888,0.09933,0.09933,0.076766,55171200
7/13/1981,0.101563,0.102121,0.101563,0.101563,0.078492,45740800
7/14/1981,0.106027,0.107143,0.106027,0.106027,0.081942,19779200
7/15/1981,0.108817,0.109375,0.108817,0.108817,0.084098,10953600
